,House Number,Rawalpindi Houses,Name,Price,Type,Main Features,Rooms,Details
10,House 50620388,Rawalpindi Houses,10 Marla Extra Land House For Sale In Phase 3 Bahria Town Rawalpindi,"Bahria Town Phase 3, Bahria Town Rawalpindi, Rawalpindi, Punjab",10 Marla With 3 Marla Extra Land 5 Bed Room With Drawing Room Attached Wash Room Corner Double Side Parking Gate For Sale In For Sale In Phase 3 Bahria Town Rawalpindi Islamabad,Parking Spaces | Flooring | Electricity Backup | Other Main Features,,"Type: House, Price: PKR6.9 Crore, Location: Bahria Town Rawalpindi, Rawalpindi, Punjab, Bath(s): 6, Area: 13 Marla, Purpose: For Sale, Bedroom(s): 5, Added: 31 minutes ago"
11,House 51279481,Rawalpindi Houses,10 Marla Double Storey Double Unit House Available For Sale,"Gulshan Abad, Rawalpindi, Punjab",10 marla double story double unit brand new house available for sale in Gulshan Abad . All basic facilities are available. Near to market Near to mosque.,Built in year: 2024 | Parking Spaces | Double Glazed Windows | Flooring | Electricity Backup | Waste Disposal | Furnished,"Bedrooms: 6, Bathrooms: 6, Drawing Room, Dining Room, Kitchens: 2, Store Rooms: 1","Type: House, Price: PKR3.3 Crore, Location: Gulshan Abad, Rawalpindi, Punjab, Bath(s): 6, Area: 10 Marla, Purpose: For Sale, Bedroom(s): 6, Added: 9 hours ago"
12,House 51512912,Rawalpindi Houses,Luxury 10 Marla House In Bahria Town,"Bahria Town Phase 4, Bahria Town Rawalpindi, Rawalpindi, Punjab","10 Marla Beautiful House For Sale In Bahria TownHaving Excellent Interior And Exterior. 5 Beds With Attach BathsTiled FlooringLawnCar Porch For 3 Cars. Imported Fittings And Fixtures. Ash Wood. Balconies And Terraces. Beautiful House And Beautiful Location. It Is The Only Housing Scheme, In Which You Can Enjoy Luxuries Of Life Very Economically. Shopping, Zoo, Parks, Hospital, Mosque, School, College s, Cinemas, Restaurants And Tennis Club Etc. Contact Us For More Details",Built in year: 2024 | Parking Spaces | Double Glazed Windows | Central Air Conditioning | Central Heating | Flooring | Electricity Backup | Waste Disposal | Floors: 2 | Other Main Features | Furnished,"Bedrooms: 5, Bathrooms: 6, Servant Quarters: 1, Drawing Room, Dining Room, Kitchens: 2, Study Room, Prayer Room, Powder Room, Gym, Store Rooms: 1, Steam Room, Lounge or Sitting Room, Laundry Room, Other Rooms","Type: House, Price: PKR5.5 Crore, Location: Bahria Town Rawalpindi, Rawalpindi, Punjab, Bath(s): 6, Area: 10 Marla, Purpose: For Sale, Bedroom(s): 5, Added: 15 minutes ago"
13,House 51263545,Rawalpindi Houses,Centrally Located On Excellent Location House For Sale In Bahria Greens - Overseas Enclave Available,"Bahria Greens - Overseas Enclave, Bahria Town Phase 8, Bahria Town Rawalpindi, Rawalpindi, Punjab","The perfect 35 Marla House is available for sale now in Bahria Greens - Overseas Enclave. A house in Bahria Greens - Overseas Enclave will bring you the best lifestyle, so don't wait further to make a decision. Protect your future, purchase this property today. Live your dream life in Rawalpindi. House you've been looking for is available at the best price, so take action today. The property is secure and well-constructed with modern features, so a demand of PKR Rs. 162500000 is quite reasonable. Read below to find out what this property offers. A barbeque area also adjoins the place and is perfect to entertain small gatherings. Your kids can play to their heart's content in the play area adjoining the property. Kids can freely play at the garden near the House. Thanks to the dining room in the House, you can host your guests peacefully and serve your meals just the way you like. Keep in touch with your friends and family with broadband internet access. Feeling stressed? Take a dip in the Jacuzzi and you will be fine in no time. Sauna has proven health benefits and you can avail them too now. We can help you find the best property that suits your needs, so contact us today for more information.",Built in year: 2024 | Parking Spaces: 3 | Flooring | Electricity Backup | Other Main Features,"Bedrooms: 5, Bathrooms: 7, Servant Quarters: 1, Drawing Room, Dining Room, Kitchens: 2, Powder Room, Store Rooms: 2, Lounge or Sitting Room, Laundry Room, Other Rooms","Type: House, Price: PKR16.25 Crore, Location: Bahria Town Rawalpindi, Rawalpindi, Punjab, Bath(s): 6, Area: 1.7 Kanal, Purpose: For Sale, Bedroom(s): 5, Added: 1 hour ago"
14,House 51665203,Rawalpindi Houses,10 Marla Designer House Is Available For Sale In Bahria Town Phase 8 Rawalpindi,"Bahria Town Phase 8, Bahria Town Rawalpindi, Rawalpindi, Punjab","Discover Your Dream Home in Bahria Phase 8!Step into luxury with this grand 10 Marla house located on the prestigious Boulevard Road! Perfectly designed for spacious living, this meticulously crafted property features: 5 Generously Sized Bedrooms for ultimate comfort and privacy6 Modern Bathrooms ensuring convenience for all family members2 Contemporary Kitchens equipped with high-end fixturesperfect for hosting and meal prep!2 Spacious Lounges ideal for relaxation and entertaining guestsFormal Drawing Room adds elegance to your living spaceDedicated Servant Quarter for comfortable support staff livingFor your peace of mind, the house is equipped with CCTV cameras and essential utilities like electricity and enjoy leisure time  Prime Location: Bahria Phase 8, Key Features: Double portion layout for extra space Note: No gas connection or solar panels installedDont miss the chance to own this exquisite property! Contact us for more details or to schedule a visit. #BahriaPhase8 #LuxuryLiving #DreamHome #RealEstate #ForSale",Parking Spaces | Flooring | Electricity Backup | Other Main Features,"Bedrooms: 5, Bathrooms: 6, Servant Quarters: 1, Drawing Room, Dining Room, Kitchens: 2, Lounge or Sitting Room","Type: House, Price: PKR4.25 Crore, Location: Bahria Town Rawalpindi, Rawalpindi, Punjab, Bath(s): 6, Area: 10 Marla, Purpose: For Sale, Bedroom(s): 5, Added: 2 hours ago"
15,House 48256782,Rawalpindi Houses,Beautifully Designed 5 Marla Singel Story Brand New House Available For Sale In Airport Housing Society,"Airport Housing Society, Rawalpindi, Punjab",Beautifully designed 5 Marla Singel Story house for sale in Airport Housing Society Sector 4 Rawalpindi Street 30feet wide Size 25 front 50 lengthElectricity available Water Supply Solid Construction Good Quality Bricks Used Near to Market Walking distance from mosque Details 2 bedroom 2 washroom 1 kitchen 1 t. V lounge 1 Drawing room1 car Parking Demand 1 caror 20 lacAll documents ReadyFor More details contact us,Built in year: 2023 | Parking Spaces: 1 | Double Glazed Windows | Flooring | Electricity Backup | Waste Disposal | Other Main Features,"Bedrooms: 2, Bathrooms: 3, Servant Quarters: 1, Drawing Room, Dining Room, Kitchens: 1, Study Room, Prayer Room, Powder Room, Gym, Store Rooms: 1, Steam Room, Lounge or Sitting Room, Laundry Room, Other Rooms","Type: House, Price: PKR1.2 Crore, Location: Airport Housing Society, Rawalpindi, Punjab, Bath(s): 3, Area: 5 Marla, Purpose: For Sale, Bedroom(s): 2, Added: 4 hours ago"
16,House 49887112,Rawalpindi Houses,Beautifully Designed 8 Marla Double Storey House ARCHITECT DESIGNED HOUSE FOR SALE In Airport Housing Society,"Airport Housing Society, Rawalpindi, Punjab","Beautifully designed 8 Marla Double House for sale in Airport Housing Society Rawalpindi * Double Story**GROUND FLOOR *3 Bedrooms3 baths Drawing Room, wide TV Lounge and Kitchen Big Car Porch for 3 cars*FIRST FLOOR*3 Room ,3 bathsDrawing and kitchenTV lounge All documents Ready ELectricity meter installed Water Supply Water Boor Gas Available Demand 2_Caror_50 lacFor More details contact us",Built in year: 2022 | Parking Spaces: 4 | Double Glazed Windows | Central Air Conditioning | Central Heating | Flooring | Electricity Backup | Waste Disposal | Floors: 2 | Other Main Features | Furnished,"Bedrooms: 7, Bathrooms: 6, Servant Quarters: 1, Drawing Room, Dining Room, Kitchens: 2, Study Room, Prayer Room, Powder Room, Gym, Store Rooms: 1, Steam Room, Lounge or Sitting Room, Laundry Room, Other Rooms","Type: House, Price: PKR2.5 Crore, Location: Airport Housing Society, Rawalpindi, Punjab, Bath(s): 6, Area: 8 Marla, Purpose: For Sale, Bedroom(s): 6, Added: 4 hours ago"
17,House 47304990,Rawalpindi Houses,4.5 Marla Single Storey House For Sale At Adiala Road,"Samarzar Housing Society, Rawalpindi, Punjab",4.5 Marla Single Storey Corner House At Samerzar2 Bed RoomDrawing RoomTV LoungeOpen KitchenCar Porch3 BathWater BoringSui GasDeyar Wood WorkVery Near To Market,Built in year: 2019 | Parking Spaces: 3 | Double Glazed Windows | Flooring | Electricity Backup | Waste Disposal | Floors: 3 | Furnished,"Bedrooms: 7, Bathrooms: 8, Servant Quarters: 2, Drawing Room, Dining Room, Kitchens: 1, Study Room, Prayer Room, Powder Room, Store Rooms: 2, Lounge or Sitting Room, Laundry Room","Type: House, Price: PKR76 Lakh, Location: Samarzar Housing Society, Rawalpindi, Punjab, Bath(s): 3, Area: 4 Marla, Purpose: For Sale, Bedroom(s): 2, Added: 11 minutes ago"
18,House 51856097,Rawalpindi Houses,6 Marla Single Storey House For Sale At Samerzar,"Adiala Road, Rawalpindi, Punjab",6 Marla Single Story House For Sale 2 Bedroom 3 Bathroom Drawing Room TV Longe Open kitchen Big Car Porch For 2 Vehicle Water Boring Slightly Negotiation in price,,,"Type: House, Price: PKR78 Lakh, Location: Adiala Road, Rawalpindi, Punjab, Bath(s): 3, Area: 6 Marla, Purpose: For Sale, Bedroom(s): 2, Added: 13 minutes ago"
19,House 51912080,Rawalpindi Houses,5 Marla Double Story Double Unit House For Sale In Snober City,"Snober City, Adiala Road, Rawalpindi, Punjab",5 Marla Double Story Double Unit House For Sale4 Bed Room6 Bathroom2 Kitchens2 Drawing Room2 TV LoungeCar PorchMumtyPrice Is Almost Final,,,"Type: House, Price: PKR95 Lakh, Location: Adiala Road, Rawalpindi, Punjab, Bath(s): 6, Area: 5 Marla, Purpose: For Sale, Bedroom(s): 4, Added: 14 minutes ago"
20,House 51951254,Rawalpindi Houses,5Marla Beautiful Double Story House For Sale At Adiala Road,"Adiala Road, Rawalpindi, Punjab",5Marla Beautiful Double Story corner House For Sale At Adiala Road 3 Bedroom 3 Bathroom Open Kitchen TV Longe Drawing Room Big Car Porch Big Mumty Water Price Is almost final,,,"Type: House, Price: PKR1.14 Crore, Location: Adiala Road, Rawalpindi, Punjab, Bath(s): 3, Area: 5 Marla, Purpose: For Sale, Bedroom(s): 3, Added: 14 minutes ago"
21,House 51990022,Rawalpindi Houses,4 Marla Single Story House For Sale At Adiala Road,"Adiala Road, Rawalpindi, Punjab",4 Marla Single Story House For Sale At Adiala Road 2 Bedroom Room 2 Bathroom Drawing Room Open Kitchen TV Longe Car Porch Mumty Water Boring Price Is almost final,,,"Type: House, Price: PKR70.5 Lakh, Location: Adiala Road, Rawalpindi, Punjab, Bath(s): 2, Area: 4 Marla, Purpose: For Sale, Bedroom(s): 2, Added: 15 minutes ago"
22,House 48279907,Rawalpindi Houses,3.5 Marla Single Storey Corner House For Sale On Adiala Road Near Janjua Town,"Adiala Road, Rawalpindi, Punjab",3.5 Marla Single Storey Corner House For Sale2 Bed Room2 Bath RoomOpen KitchenTV LoungeDrawing RoomCar PorchWater BoringSui Gas In StreetVery Near To Main Adiala Road,Built in year: 2024 | Parking Spaces | Double Glazed Windows | Central Air Conditioning | Central Heating | Flooring | Electricity Backup | Waste Disposal | Floors | Other Main Features | Furnished,"Bedrooms: 3, Bathrooms: 3, Servant Quarters: 1, Drawing Room, Dining Room, Kitchens: 2, Study Room, Prayer Room, Powder Room, Gym, Store Rooms: 1, Other Rooms","Type: House, Price: PKR62 Lakh, Location: Adiala Road, Rawalpindi, Punjab, Bath(s): 2, Area: 3.5 Marla, Purpose: For Sale, Bedroom(s): 2, Added: 15 minutes ago"
23,House 48538345,Rawalpindi Houses,5 Marla House House For Sale At Adiala Road Near Janjua Town,"Adiala Road, Rawalpindi, Punjab",5 Marla Double Story House For Sale at adiala road near janjua town 4 Bed Room 5 Bath Room 2 Kitchen Drawing Room TV loungeBig Car Porch WATER Boring Sui Gas A/A In the Street VERY Near to main adiala road,,,"Type: House, Price: PKR1.45 Crore, Location: Adiala Road, Rawalpindi, Punjab, Bath(s): 5, Area: 5 Marla, Purpose: For Sale, Bedroom(s): 3, Added: 16 minutes ago"
24,House 49516670,Rawalpindi Houses,10 Marla 3572 Single Storey House For Sale At Gulshan Abbad,"Gulshan Abad, Rawalpindi, Punjab","10 Marla Single Storey House For Sale At Gulshan Abbad3 Bedroom3 BathroomOpen KitchenTV LoungeDrawing RoomBig Car PorchWater BoringIdeal Location. Reasonable Price. Grab This Auspicious Opportunity To Execute Your Dreams Into Reality. It Is Sure To Be A Profitable Deal For Any Genuine Client. The Right Place To Invest Your Money. Interested Persons Welcome To Visit The Property. Please Feel Free To Call Us If You Need Further Details About It. We Request That Only Serious Individuals Contact Us To Make An Immediate Deal, And Please Do Not Forget To Mention Zameen. com When Calling.",Built in year: 2023 | Parking Spaces | Double Glazed Windows | Central Air Conditioning | Central Heating | Flooring | Electricity Backup | Waste Disposal | Floors: 2 | Other Main Features | Furnished,"Bedrooms: 5, Bathrooms: 6, Servant Quarters: 2, Drawing Room, Dining Room, Kitchens: 3, Study Room, Prayer Room, Powder Room, Gym, Store Rooms: 2, Steam Room, Lounge or Sitting Room, Laundry Room, Other Rooms","Type: House, Price: PKR1.28 Crore, Location: Gulshan Abad, Rawalpindi, Punjab, Bath(s): 3, Area: 10 Marla, Purpose: For Sale, Bedroom(s): 3, Added: 16 minutes ago"
25,House 49307119,Rawalpindi Houses,1 Kanal Sunfacing Brand New Unique House For Sale In Bahria Town,"Bahria Town Phase 4, Bahria Town Rawalpindi, Rawalpindi, Punjab","Located on 80 Feet wide road, front open , Direct access from Main Entrances, Sunfacing & unique Design from entrance to rooftop. stratigically located, with walking distance to all amenities. We deal exclusively in Bahria Town only, with having the prestige of over a decade of experience. We are authorised Realtors/ Builders and deal in sale/purchase/rent of residential and commercial properties. We offer construction and renovation on demand ( References of handovered projects can be shared with eligible clients)For further info don't hesitate to contact usTahir Real Estate &BuildersReal Estate Consultants - Builders-",Built in year: 2027 | Parking Spaces | Central Air Conditioning | Central Heating | Flooring | Electricity Backup | Waste Disposal | Other Main Features,,"Type: House, Price: PKR9.25 Crore, Location: Bahria Town Rawalpindi, Rawalpindi, Punjab, Bath(s): 6, Area: 1 Kanal, Purpose: For Sale, Bedroom(s): 5, Added: 17 hours ago"
26,House 52002409,Rawalpindi Houses,1.7 Kanal Corner Extraordinary Villa for sale in Bahria Town Phase 3,"Bahria Town Phase 3, Bahria Town Rawalpindi, Rawalpindi, Punjab","34Marla, 1.7kanal, 80Ft Front, This house looks and feels like 2 Kanal in every aspect from its 6 Cars Parking area to its 6 Master size bedrooms, extra spacious Lounge lobby and terraces, Much more can be said about this property. If you are looking for 2 Kanal houses at a reasonable price tag or Kanal house with much more this is your best option. We deal exclusively in Bahria Town only, with having the prestige of over a decade of experience. We are authorised Realtors/ Builders and deal in sale/purchase/rent of residential and commercial properties. We offer construction and renovation on demand. ( References of handovered projects can be shared with eligible clients)For further info don't hesitate to contact us Tahir Real Estate &BuildersReal Estate Consultants - Builders- Advisors",,,"Type: House, Price: PKR17.5 Crore, Location: Bahria Town Rawalpindi, Rawalpindi, Punjab, Bath(s): 6, Area: 1 Kanal, Purpose: For Sale, Bedroom(s): 6, Added: 17 hours ago"
27,House 52091401,Rawalpindi Houses,Modern Designer House For Sale Triple Highted,"Bahria Town Phase 4, Bahria Town Rawalpindi, Rawalpindi, Punjab",Modern Designer Kanal House For SaleCompletion Year 2025Solar Are Installed Triple Highted Sami Furnished Bahira Town Phase 4 Blouwerd Size 50X907 Master Ultra Modern Bedroom Modern Designer Kitchen8 Luxurious Washrooms Elgant Architecture Design Solid Land Solid Wood Works More Information Please Call,Built in year: 2025 | Parking Spaces: 4 | Double Glazed Windows | Central Air Conditioning | Central Heating | Flooring | Electricity Backup | Floors: 3,"Bedrooms: 7, Bathrooms: 8, Servant Quarters: 1, Drawing Room, Dining Room, Kitchens: 3, Study Room, Prayer Room, Powder Room, Store Rooms: 1, Steam Room, Lounge or Sitting Room, Laundry Room","Type: House, Price: PKR14.4 Crore, Location: Bahria Town Rawalpindi, Rawalpindi, Punjab, Bath(s): 6, Area: 1 Kanal, Purpose: For Sale, Bedroom(s): 7, Added: 18 hours ago"
